City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
247,Zhigansk,RU,2021-08-01 22:43:51,66.7697,123.3711,67.1,59,40,15.64,scattered clouds
248,Syava,RU,2021-08-01 22:43:51,58.0146,46.3222,67.03,66,98,6.15,overcast clouds
249,Sao Joao Batista,BR,2021-08-01 22:43:51,-27.2761,-48.8494,66.04,95,100,0.94,overcast clouds
250,Denpasar,ID,2021-08-01 22:43:52,-8.65,115.2167,78.46,94,40,10.36,scattered clouds
251,Celestun,MX,2021-08-01 22:43:52,20.8667,-90.4,84.45,74,74,15.26,broken clouds
252,Paulo Afonso,BR,2021-08-01 22:43:52,-9.4061,-38.2147,68.58,76,80,10.56,broken clouds
253,Fortuna,US,2021-08-01 22:43:53,40.5982,-124.1573,69.93,71,40,4.0,scattered clouds
254,Sept-Iles,CA,2021-08-01 22:34:58,50.2001,-66.3821,66.72,71,75,8.01,broken clouds
255,Lapithos,CY,2021-08-01 22:43:53,35.3375,33.1792,84.92,58,0,12.77,clear sky
256,Tevaitoa,PF,2021-08-01 22:43:53,-16.7833,-151.5,77.09,69,32,14.63,scattered clouds
257,Kankan,GN,2021-08-01 22:43:54,10.3854,-9.3057,71.78,95,99,4.88,light rain
258,Yako,BF,2021-08-01 22:43:54,12.9667,-2.2667,79.66,67,10,8.99,clear sky
259,La Asuncion,VE,2021-08-01 22:43:54,11.0333,-63.8628,87.53,74,2,12.66,clear sky
