City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
513,Sinnamary,GF,79.34,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
514,Shahrud,IR,68.72,scattered clouds,36.4182,54.9763,Royal Hotel
515,Ambon,ID,79.86,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
517,Batangafo,CF,69.57,overcast clouds,7.3008,18.2833,OCHA Office
519,Marawi,PH,69.66,overcast clouds,7.9986,124.2928,Derogongan Residence
520,Keshorai Patan,IN,75.0,very heavy rain,25.3,75.9333,Hotel Jamindar Palace
521,Naroda,IN,78.76,haze,23.0833,72.6667,OYO 3328 Hotel Royal Apple
522,Ngunguru,NZ,62.17,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
524,Kropotkin,RU,76.06,scattered clouds,45.4375,40.5756,Hotel Europe Kropotkin
526,Samarai,PG,78.06,overcast clouds,-10.6167,150.6667,Nuli Sapi
528,Biak,ID,76.53,scattered clouds,-0.9131,122.8766,Penginapan Kim
530,Barreirinhas,BR,76.59,overcast clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
532,Thoen,TH,75.97,overcast clouds,17.6129,99.2161,Nakornthoen Hotel
535,Huangchuan,CN,79.83,broken clouds,32.1272,115.0394,Guangzhou International Hotel
536,Mount Isa,AU,64.17,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
539,Rio Verde De Mato Grosso,BR,73.56,few clouds,-18.9181,-54.8442,Hotel Valência
549,A Coruna,ES,64.89,few clouds,43.3713,-8.396,Hotel Zenit Coruña
550,Mala,PE,64.98,scattered clouds,-12.6581,-76.6308,Hotel Granda
551,Kulykiv,UA,63.68,broken clouds,50.3142,24.8176,
556,Tondano,ID,68.09,overcast clouds,1.3038,124.9112,Villa Bella
560,Odweyne,SO,72.14,few clouds,9.4092,45.064,Eng Hiirey House
561,Yaring,TH,78.24,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
562,Moerai,PF,74.46,overcast clouds,-22.4333,-151.3333,Le Manotel
568,Charagua,BO,67.57,overcast clouds,-19.8,-63.2167,Hotel
572,Dali,CN,60.3,few clouds,25.7,100.1833,Dali Travelling With Hostel
